net,length_um
_0669_,7.725µm
_1688_,7.72µm
_0577_,7.705µm
_1484_,7.7µm
_1958_,7.7µm
_0778_,7.685µm
_0818_,7.68µm
_1497_,7.68µm
net959,7.68µm
load_data[3],7.67µm
_0373_,7.665µm
_0127_,7.65µm
_1464_,7.64µm
_1504_,7.64µm
_1662_,7.64µm
lsu.store_fifo.queue\[0\]\[0\],7.64µm
net108,7.64µm
net110,7.64µm
net703,7.64µm
net1169,7.64µm
net1172,7.64µm
net1245,7.64µm
_1139_,7.62µm
_0391_,7.605µm
_0715_,7.6µm
_1132_,7.6µm
_1751_,7.6µm
_1821_,7.6µm
lsu.load_fifo.queue\[9\]\[28\],7.6µm
net1116,7.6µm
_1338_,7.58µm
_1891_,7.58µm
acc.start,7.58µm
_0208_,7.565µm
_0305_,7.565µm
_0472_,7.565µm
_0551_,7.565µm
_0949_,7.565µm
_0763_,7.56µm
_1493_,7.56µm
acc.byte0\[3\],7.56µm
_0596_,7.54µm
_1056_,7.525µm
_1153_,7.52µm
net421,7.52µm
net503,7.52µm
net641,7.52µm
net643,7.52µm
net675,7.52µm
net722,7.52µm
net843,7.52µm
net1130,7.52µm
net1227,7.52µm
_0120_,7.51µm
_0549_,7.485µm
net691,7.48µm
net874,7.48µm
net1059,7.48µm
_0503_,7.46µm
_1055_,7.46µm
net555,7.46µm
net877,7.46µm
_0563_,7.445µm
_1308_,7.42µm
_1888_,7.42µm
net903,7.42µm
lsu.load_fifo.queue\[13\]\[4\],7.4µm
net1060,7.4µm
_0312_,7.385µm
_0758_,7.385µm
net1097,7.38µm
_0004_,7.37µm
net840,7.36µm
net924,7.36µm
net1153,7.36µm
_0361_,7.345µm
_0615_,7.345µm
_0660_,7.345µm
_0771_,7.345µm
net576,7.34µm
net793,7.34µm
_0093_,7.33µm
_0119_,7.33µm
_0146_,7.32µm
_1166_,7.32µm
_1554_,7.32µm
_1717_,7.32µm
lsu.load_fifo.queue\[0\]\[23\],7.32µm
_0989_,7.305µm
net954,7.305µm
_1031_,7.3µm
net1305,7.3µm
_0734_,7.28µm
_0116_,7.26µm
_0493_,7.245µm
_0603_,7.245µm
_1534_,7.24µm
_1585_,7.24µm
_1770_,7.24µm
net588,7.24µm
_0027_,7.23µm
_0825_,7.22µm
_0909_,7.22µm
_1914_,7.22µm
lsu.load_fifo.queue\[8\]\[24\],7.22µm
net685,7.22µm
net1239,7.22µm
_1256_,7.2µm
_1964_,7.2µm
_0239_,7.195µm
_0474_,7.185µm
_0819_,7.18µm
_1274_,7.18µm
_1527_,7.18µm
_1711_,7.18µm
_1785_,7.18µm
lsu.load_fifo.queue\[8\]\[22\],7.18µm
net652,7.18µm
_1091_,7.165µm
_1023_,7.16µm
_1172_,7.16µm
_1812_,7.16µm
_0840_,7.155µm
_0411_,7.145µm
_0633_,7.145µm
_0757_,7.145µm
net800,7.145µm
_0831_,7.14µm
_1260_,7.14µm
_1392_,7.14µm
net97,7.14µm
net1224,7.14µm
_1179_,7.12µm
_1957_,7.12µm
lsu.load_fifo.queue\[7\]\[9\],7.1µm
net1090,7.1µm
_1227_,7.08µm
_1463_,7.08µm
_0738_,7.06µm
_0821_,7.06µm
_1165_,7.06µm
_1869_,7.06µm
acc.byte3\[7\],7.06µm
net552,7.06µm
net786,7.06µm
net881,7.06µm
net1016,7.06µm
net1275,7.06µm
_1272_,7.04µm
_0657_,7.025µm
_0991_,7.02µm
_0426_,7.015µm
_1908_,7.015µm
_0960_,7µm
net1002,7µm
net1113,7µm
_1037_,6.985µm
_0167_,6.98µm
net723,6.98µm
_0291_,6.96µm
_0334_,6.96µm
_0342_,6.96µm
_0580_,6.96µm
_0619_,6.96µm
_0674_,6.96µm
net717,6.96µm
net885,6.96µm
net1120,6.96µm
net1166,6.96µm
lsu.load_fifo.queue\[11\]\[10\],6.94µm
_0338_,6.935µm
_0632_,6.925µm
_1292_,6.92µm
_1352_,6.92µm
net622,6.92µm
net964,6.92µm
net1170,6.92µm
net1233,6.92µm
_1265_,6.9µm
_1459_,6.9µm
_1614_,6.9µm
_1949_,6.9µm
net575,6.9µm
net690,6.9µm
net775,6.9µm
net921,6.9µm
net1017,6.9µm
store_addr[5],6.89µm
_0242_,6.885µm
_0666_,6.885µm
net882,6.88µm
_0090_,6.87µm
_0651_,6.865µm
_1771_,6.86µm
_1774_,6.86µm
_1824_,6.86µm
net677,6.86µm
_0968_,6.845µm
_0058_,6.84µm
_0798_,6.84µm
_2010_,6.84µm
lsu.load_fifo.data_in\[21\],6.84µm
net71,6.84µm
net600,6.84µm
_0488_,6.825µm
_0554_,6.825µm
_0572_,6.825µm
_0717_,6.825µm
_1038_,6.825µm
_1722_,6.82µm
net1185,6.82µm
_0701_,6.795µm
_1514_,6.78µm
_1740_,6.78µm
_0168_,6.77µm
store_base_addr[15],6.77µm
_0672_,6.765µm
_1501_,6.76µm
_1803_,6.76µm
_1960_,6.76µm
_1980_,6.76µm
net996,6.76µm
net1141,6.76µm
net1293,6.76µm
_0091_,6.75µm
_0971_,6.745µm
_1426_,6.72µm
_1794_,6.72µm
_1940_,6.72µm
net111,6.72µm
net1052,6.72µm
_0737_,6.7µm
_1418_,6.7µm
_0647_,6.695µm
_0219_,6.685µm
_0254_,6.685µm
_0370_,6.685µm
_1034_,6.685µm
_1069_,6.685µm
_0417_,6.645µm
_0533_,6.645µm
_0574_,6.645µm
_0693_,6.645µm
_1700_,6.64µm
_1828_,6.64µm
lsu.load_fifo.queue\[4\]\[27\],6.64µm
net10,6.64µm
net651,6.64µm
net876,6.64µm
_0480_,6.62µm
_0698_,6.62µm
_1164_,6.62µm
_1779_,6.62µm
lsu.load_fifo.queue\[11\]\[9\],6.62µm
lsu.load_fifo.queue\[1\]\[30\],6.62µm
_1140_,6.6µm
_1247_,6.6µm
_2005_,6.6µm
net603,6.6µm
net835,6.6µm
net1129,6.6µm
_0252_,6.595µm
_0243_,6.565µm
_0977_,6.565µm
net842,6.54µm
net998,6.54µm
_0097_,6.53µm
_0564_,6.525µm
_1978_,6.52µm
lsu.load_fifo.queue\[12\]\[11\],6.52µm
_1625_,6.51µm
_0970_,6.5µm
net524,6.5µm
net621,6.5µm
net649,6.5µm
net728,6.5µm
net759,6.5µm
net823,6.5µm
net846,6.5µm
net1136,6.5µm
_1916_,6.48µm
lsu.load_fifo.queue\[9\]\[16\],6.48µm
lsu.load_fifo.queue\[9\]\[18\],6.48µm
_0213_,6.465µm
_0562_,6.465µm
_0636_,6.465µm
net825,6.46µm
net1218,6.46µm
_0354_,6.445µm
net515,6.44µm
net520,6.44µm
count[19],6.43µm
net453,6.43µm
_0795_,6.42µm
_0810_,6.42µm
net715,6.42µm
net863,6.42µm
net960,6.42µm
_0003_,6.41µm
_0201_,6.405µm
_0912_,6.405µm
net815,6.4µm
_0416_,6.38µm
_0746_,6.38µm
_0803_,6.38µm
_0015_,6.37µm
_0163_,6.37µm
_0182_,6.365µm
_0185_,6.365µm
_0191_,6.365µm
_0214_,6.365µm
_0255_,6.365µm
_0271_,6.365µm
_0351_,6.365µm
_0368_,6.365µm
_0395_,6.365µm
_0496_,6.365µm
_0594_,6.365µm
_0679_,6.365µm
_0688_,6.365µm
_0761_,6.365µm
_1071_,6.365µm
net836,6.36µm
_0663_,6.355µm
net1241,6.32µm
load_data[13],6.31µm
load_data[14],6.31µm
load_data[28],6.31µm
_0362_,6.305µm
_0540_,6.305µm
_0881_,6.3µm
_0927_,6.3µm
_1020_,6.3µm
_1147_,6.3µm
_1192_,6.3µm
_1913_,6.3µm
lsu.load_fifo.queue\[0\]\[3\],6.3µm
_1607_,6.28µm
_1494_,6.26µm
net119,6.26µm
net950,6.26µm
net1027,6.26µm
_0425_,6.225µm
_0486_,6.225µm
_0158_,6.21µm
store_addr[19],6.21µm
_0511_,6.185µm
_0515_,6.185µm
_0521_,6.185µm
_0544_,6.185µm
_0561_,6.185µm
_0567_,6.185µm
_0753_,6.185µm
_1544_,6.18µm
_1589_,6.18µm
_1988_,6.18µm
lsu.load_fifo.queue\[8\]\[15\],6.18µm
_0713_,6.14µm
_1108_,6.14µm
_1394_,6.14µm
_1517_,6.14µm
_1748_,6.14µm
_1811_,6.14µm
_1973_,6.14µm
lsu.load_fifo.r_ptr\[1\],6.14µm
net521,6.14µm
net583,6.14µm
net696,6.14µm
net751,6.14µm
_0541_,6.105µm
_0790_,6.105µm
_0947_,6.085µm
_0843_,6.08µm
_1250_,6.08µm
net707,6.08µm
net862,6.08µm
net1146,6.08µm
_0390_,6.065µm
lsu.load_fifo.queue\[2\]\[22\],6.065µm
net534,6.065µm
net1209,6.065µm
lsu.load_fifo.queue\[12\]\[9\],6.06µm
net43,6.06µm
_0623_,6.04µm
_1074_,6.04µm
net618,6.04µm
net627,6.04µm
net714,6.04µm
net1122,6.04µm
net1173,6.04µm
lsu.load_fifo.queue\[1\]\[27\],6.02µm
lsu.load_fifo.queue\[5\]\[8\],6.02µm
net481,6.02µm
_0484_,6.015µm
_0302_,6.005µm
_0762_,6.005µm
_1432_,5.98µm
net561,5.98µm
net945,5.98µm
net1024,5.98µm
net1084,5.98µm
net465,5.97µm
_0307_,5.965µm
_0324_,5.965µm
_0375_,5.965µm
_0428_,5.965µm
_0466_,5.965µm
_0691_,5.965µm
_0768_,5.965µm
_0889_,5.96µm
_1419_,5.96µm
net547,5.96µm
_0353_,5.945µm
_0073_,5.94µm
_1213_,5.94µm
_1363_,5.94µm
_0924_,5.92µm
_1629_,5.92µm
net500,5.92µm
net672,5.92µm
_0047_,5.91µm
_0113_,5.91µm
_0155_,5.91µm
net155,5.9µm
_0773_,5.885µm
_1455_,5.86µm
_0016_,5.85µm
_0289_,5.845µm
_0479_,5.845µm
_0624_,5.845µm
_0013_,5.84µm
_0891_,5.84µm
_0995_,5.84µm
_1337_,5.84µm
_1692_,5.84µm
_1706_,5.84µm
net50,5.84µm
net73,5.84µm
_0839_,5.805µm
_1011_,5.8µm
_1170_,5.8µm
_1360_,5.8µm
_1618_,5.8µm
_1873_,5.8µm
_1941_,5.8µm
_1951_,5.8µm
net120,5.8µm
net126,5.8µm
net847,5.8µm
net943,5.8µm
net1164,5.8µm
lsu.load_fifo.queue\[2\]\[8\],5.79µm
_0566_,5.775µm
_0212_,5.765µm
_0222_,5.765µm
_0225_,5.765µm
_0288_,5.765µm
_0543_,5.765µm
_0598_,5.765µm
_0608_,5.765µm
_0692_,5.765µm
_0703_,5.765µm
_1073_,5.765µm
net466,5.75µm
_1188_,5.74µm
_0454_,5.725µm
_1233_,5.72µm
_1650_,5.72µm
_1798_,5.72µm
_1962_,5.72µm
net597,5.72µm
net812,5.72µm
net1111,5.72µm
net1235,5.72µm
_0230_,5.7µm
_0652_,5.7µm
_0736_,5.68µm
_0742_,5.68µm
_1754_,5.68µm
net508,5.68µm
net509,5.68µm
net568,5.68µm
net919,5.68µm
net1080,5.68µm
_0265_,5.645µm
load_data[10],5.63µm
_0412_,5.625µm
_0648_,5.62µm
_1320_,5.62µm
_0215_,5.605µm
_0388_,5.605µm
_1052_,5.605µm
_0095_,5.6µm
_1207_,5.6µm
lsu.load_fifo.queue\[3\]\[7\],5.6µm
lsu.load_fifo.queue\[8\]\[1\],5.6µm
lsu.load_fifo.queue\[9\]\[13\],5.6µm
net1076,5.6µm
_0526_,5.58µm
_1626_,5.58µm
net906,5.58µm
net993,5.58µm
net1133,5.58µm
net1223,5.58µm
_0740_,5.56µm
net1287,5.56µm
_0490_,5.555µm
net773,5.555µm
_0442_,5.545µm
_0471_,5.545µm
_0529_,5.545µm
_0781_,5.545µm
_0847_,5.545µm
_0170_,5.53µm
store_base_addr[14],5.53µm
store_data[0],5.53µm
_1289_,5.52µm
net1284,5.52µm
_0261_,5.505µm
_0419_,5.505µm
_0531_,5.505µm
_0546_,5.505µm
_0665_,5.505µm
_0725_,5.505µm
_0760_,5.505µm
_0988_,5.505µm
_0834_,5.5µm
_0926_,5.5µm
_0553_,5.48µm
_1196_,5.48µm
_1254_,5.48µm
_1592_,5.48µm
_0284_,5.465µm
_0885_,5.46µm
_1208_,5.46µm
_1529_,5.46µm
_1644_,5.46µm
_0166_,5.45µm
_0174_,5.45µm
_1952_,5.4µm
_0121_,5.38µm
_1180_,5.38µm
_1205_,5.38µm
_1461_,5.38µm
_1521_,5.38µm
_1981_,5.38µm
net1045,5.38µm
net1149,5.38µm
net1225,5.38µm
net776,5.365µm
_1787_,5.36µm
_1066_,5.345µm
_0801_,5.34µm
_0812_,5.34µm
_0823_,5.34µm
_0826_,5.34µm
_0900_,5.34µm
_0903_,5.34µm
_1014_,5.34µm
_1118_,5.34µm
_1262_,5.34µm
_1982_,5.34µm
acc.data_out\[7\],5.34µm
net24,5.34µm
net137,5.34µm
net1131,5.34µm
net1175,5.34µm
net1298,5.34µm
_0043_,5.33µm
_0576_,5.315µm
net925,5.315µm
store_data[4],5.31µm
_0263_,5.305µm
_0327_,5.305µm
_0392_,5.305µm
_0508_,5.305µm
_0599_,5.305µm
_0612_,5.305µm
_0933_,5.305µm
_0070_,5.29µm
net455,5.29µm
net462,5.29µm
_1641_,5.28µm
_1922_,5.28µm
_0447_,5.265µm
_0786_,5.26µm
_0890_,5.26µm
_1158_,5.26µm
_1210_,5.26µm
_1350_,5.26µm
_1810_,5.26µm
_1837_,5.26µm
_1948_,5.26µm
_1969_,5.26µm
net553,5.26µm
net768,5.26µm
net777,5.26µm
net963,5.26µm
_0494_,5.24µm
_0743_,5.22µm
_1595_,5.22µm
_1691_,5.22µm
_1793_,5.22µm
net36,5.22µm
net598,5.22µm
net869,5.22µm
net920,5.22µm
store_addr[3],5.19µm
_0670_,5.185µm
_1741_,5.16µm
net610,5.16µm
net666,5.16µm
net1206,5.16µm
_0948_,5.145µm
_0913_,5.14µm
_1121_,5.14µm
_1242_,5.14µm
_1966_,5.14µm
net58,5.14µm
net559,5.14µm
_0550_,5.135µm
_1276_,5.12µm
net55,5.12µm
net556,5.12µm
net584,5.12µm
net640,5.12µm
net676,5.12µm
net720,5.12µm
net761,5.12µm
net792,5.12µm
net889,5.12µm
net971,5.12µm
net1047,5.12µm
net1106,5.12µm
_0055_,5.1µm
_0063_,5.1µm
_0141_,5.1µm
_1251_,5.1µm
_0304_,5.095µm
_0366_,5.095µm
_0386_,5.095µm
_0695_,5.095µm
_1035_,5.095µm
_1062_,5.095µm
_0504_,5.085µm
_0783_,5.085µm
_0966_,5.085µm
_0011_,5.07µm
_0079_,5.07µm
store_base_addr[12],5.07µm
net461,5.07µm
net464,5.07µm
net468,5.07µm
_1871_,5.06µm
net849,5.06µm
net896,5.06µm
_0545_,5.045µm
_1059_,5.045µm
_0793_,5.04µm
net647,5.04µm
net911,5.04µm
net1177,5.04µm
net499,5.03µm
_1879_,5.02µm
_0080_,5µm
_0785_,4.995µm
_0017_,4.99µm
_0074_,4.99µm
net1309,4.99µm
_0231_,4.985µm
_0295_,4.975µm
_0500_,4.975µm
net586,4.975µm
_0088_,4.97µm
_0646_,4.965µm
_0654_,4.965µm
net667,4.965µm
load_data[18],4.95µm
load_data[19],4.95µm
load_data[26],4.95µm
load_data[4],4.95µm
load_data[5],4.95µm
_0705_,4.94µm
_0784_,4.94µm
_1834_,4.94µm
net821,4.94µm
_0800_,4.92µm
_1009_,4.92µm
_1024_,4.92µm
_1301_,4.92µm
_1697_,4.92µm
_1902_,4.92µm
_1954_,4.92µm
lsu.load_fifo.queue\[9\]\[8\],4.92µm
lsu.store_fifo.queue\[13\]\[8\],4.92µm
net1087,4.92µm
net1240,4.92µm
net884,4.9µm
_1093_,4.885µm
_0028_,4.88µm
_1135_,4.88µm
_1378_,4.88µm
_1436_,4.88µm
_1984_,4.88µm
acc.data_out\[5\],4.88µm
lsu.load_fifo.queue\[13\]\[25\],4.88µm
net153,4.88µm
net648,4.88µm
net724,4.88µm
net1214,4.88µm
net1226,4.88µm
_0012_,4.87µm
_0021_,4.87µm
_0125_,4.87µm
store_addr[2],4.85µm
store_addr[6],4.85µm
store_addr[8],4.85µm
_0188_,4.845µm
_0498_,4.845µm
_0539_,4.845µm
_0548_,4.845µm
_0677_,4.805µm
_1036_,4.805µm
_1049_,4.805µm
_1329_,4.8µm
_1530_,4.8µm
_1807_,4.8µm
net539,4.8µm
net596,4.8µm
net637,4.8µm
net661,4.8µm
net708,4.8µm
net716,4.8µm
net861,4.8µm
net890,4.8µm
net970,4.8µm
net1043,4.8µm
net1266,4.8µm
net1271,4.8µm
_1017_,4.765µm
_0109_,4.76µm
_0111_,4.76µm
net936,4.76µm
_0210_,4.725µm
_0220_,4.725µm
_0617_,4.725µm
net1123,4.725µm
_1278_,4.7µm
_1739_,4.7µm
net650,4.7µm
net947,4.7µm
net981,4.7µm
net1004,4.7µm
net1262,4.7µm
_0732_,4.68µm
net570,4.68µm
net801,4.68µm
net854,4.68µm
net1015,4.68µm
_1863_,4.66µm
net613,4.66µm
net1105,4.66µm
net1203,4.66µm
_0202_,4.625µm
_0461_,4.625µm
_0513_,4.625µm
_0772_,4.625µm
net855,4.625µm
_0133_,4.61µm
_0161_,4.61µm
load_data[12],4.61µm
load_data[15],4.61µm
load_data[2],4.61µm
load_data[30],4.61µm
net448,4.61µm
net449,4.61µm
net463,4.61µm
_1481_,4.6µm
net900,4.6µm
net1092,4.6µm
_0309_,4.585µm
_0369_,4.585µm
_0680_,4.585µm
_0682_,4.585µm
_0649_,4.58µm
_0923_,4.58µm
_0956_,4.58µm
_1029_,4.58µm
_1141_,4.58µm
_1823_,4.58µm
net718,4.58µm
net1285,4.58µm
_1053_,4.56µm
net1078,4.56µm
_0293_,4.555µm
_0483_,4.555µm
_0106_,4.54µm
_1829_,4.54µm
_0083_,4.53µm
_0124_,4.53µm
_0311_,4.525µm
_0025_,4.51µm
_0035_,4.51µm
_0318_,4.505µm
_0477_,4.505µm
_0711_,4.48µm
_1178_,4.48µm
net51,4.48µm
net69,4.48µm
_1012_,4.46µm
_1076_,4.46µm
_1189_,4.46µm
_1284_,4.46µm
_1411_,4.46µm
_1491_,4.46µm
_1537_,4.46µm
_1768_,4.46µm
net74,4.46µm
net867,4.46µm
_1171_,4.44µm
_1677_,4.44µm
_0627_,4.425µm
_0659_,4.425µm
_0829_,4.42µm
_0915_,4.42µm
_1032_,4.42µm
_1033_,4.42µm
_1495_,4.42µm
_1597_,4.42µm
_1814_,4.42µm
net748,4.42µm
net1244,4.42µm
net447,4.39µm
_0314_,4.385µm
_0379_,4.385µm
_0431_,4.385µm
_0683_,4.385µm
_0955_,4.385µm
_0975_,4.385µm
_0752_,4.34µm
_1776_,4.34µm
acc.data_out\[6\],4.34µm
net510,4.34µm
net999,4.34µm
_1441_,4.32µm
_0499_,4.295µm
_0639_,4.295µm
net457,4.27µm
net794,4.24µm
net1202,4.24µm
_0744_,4.22µm
_1415_,4.22µm
_1598_,4.22µm
_1395_,4.2µm
net536,4.2µm
net538,4.2µm
net565,4.2µm
net572,4.2µm
net592,4.2µm
net665,4.2µm
net731,4.2µm
net753,4.2µm
_1235_,4.18µm
_0450_,4.165µm
_0489_,4.165µm
_0678_,4.165µm
_0846_,4.165µm
_0476_,4.145µm
_0764_,4.14µm
_1226_,4.14µm
net57,4.14µm
net624,4.14µm
net626,4.14µm
net654,4.14µm
net1167,4.14µm
_0485_,4.125µm
_0765_,4.12µm
_0809_,4.12µm
_0914_,4.12µm
_0992_,4.12µm
_0999_,4.12µm
_1025_,4.12µm
_1026_,4.12µm
net811,4.12µm
net772,4.1µm
net1294,4.1µm
_0050_,4.08µm
_0131_,4.08µm
_0145_,4.08µm
_0152_,4.08µm
_0176_,4.08µm
_1906_,4.08µm
_0102_,4.05µm
_0144_,4.05µm
_0457_,4.045µm
_0712_,4.02µm
_0828_,4.02µm
_1756_,4.02µm
_0775_,4µm
_0780_,4µm
_0791_,4µm
_0816_,4µm
_0895_,4µm
_0907_,4µm
_1002_,4µm
_1843_,4µm
net878,4µm
net1000,4µm
net1160,4µm
_1162_,3.98µm
net1296,3.98µm
_0308_,3.975µm
_0524_,3.975µm
_0625_,3.975µm
_0950_,3.965µm
net749,3.965µm
_0363_,3.925µm
_0378_,3.925µm
_0421_,3.925µm
_0433_,3.925µm
_0517_,3.925µm
_0569_,3.925µm
_0575_,3.925µm
_0607_,3.925µm
_0673_,3.925µm
_0675_,3.925µm
_1039_,3.925µm
net702,3.9µm
_1193_,3.88µm
_1221_,3.88µm
_1300_,3.88µm
_1454_,3.88µm
_1683_,3.88µm
_1738_,3.88µm
_1757_,3.88µm
_1775_,3.88µm
_1826_,3.88µm
_1907_,3.88µm
net574,3.88µm
net734,3.88µm
net1038,3.88µm
_0911_,3.845µm
_0664_,3.805µm
_0774_,3.805µm
_0976_,3.805µm
_1094_,3.805µm
_0294_,3.78µm
_0507_,3.78µm
_0560_,3.78µm
_0653_,3.78µm
_0932_,3.78µm
_1372_,3.78µm
net537,3.78µm
net606,3.78µm
net614,3.78µm
net616,3.78µm
net712,3.78µm
net741,3.78µm
net762,3.78µm
net833,3.78µm
net1222,3.78µm
_0056_,3.76µm
_0112_,3.76µm
_0115_,3.76µm
_0728_,3.76µm
net679,3.74µm
net788,3.74µm
net802,3.74µm
net868,3.74µm
net870,3.74µm
net905,3.74µm
net949,3.74µm
net1210,3.74µm
_0285_,3.705µm
_0547_,3.705µm
_0637_,3.705µm
_0854_,3.705µm
_0920_,3.705µm
_0967_,3.705µm
_0092_,3.69µm
_1518_,3.68µm
_1543_,3.68µm
net686,3.68µm
net754,3.68µm
net886,3.68µm
net942,3.68µm
net1261,3.68µm
_1003_,3.66µm
_1169_,3.64µm
lsu.load_fifo.queue\[0\]\[1\],3.64µm
_0928_,3.635µm
_0052_,3.59µm
_0134_,3.59µm
_0331_,3.585µm
_0440_,3.585µm
_0686_,3.585µm
_0871_,3.585µm
_1050_,3.585µm
_0902_,3.56µm
_1680_,3.56µm
net1077,3.56µm
_0020_,3.54µm
_0100_,3.54µm
_0777_,3.54µm
_0806_,3.54µm
_0808_,3.54µm
_0908_,3.54µm
_1267_,3.54µm
_1342_,3.54µm
_1366_,3.54µm
_1409_,3.54µm
_1682_,3.54µm
net78,3.54µm
net725,3.54µm
net1229,3.54µm
_1127_,3.52µm
_1805_,3.515µm
_0938_,3.505µm
_0211_,3.485µm
_0190_,3.465µm
_0209_,3.465µm
_0371_,3.465µm
_0376_,3.465µm
_0398_,3.465µm
_0434_,3.465µm
_0588_,3.465µm
_0628_,3.465µm
_0638_,3.465µm
_0813_,3.465µm
_0817_,3.465µm
_0830_,3.465µm
_0874_,3.465µm
_0935_,3.465µm
_0990_,3.465µm
_1047_,3.465µm
_0842_,3.44µm
_0864_,3.44µm
_1764_,3.44µm
_1953_,3.44µm
_0905_,3.42µm
_1689_,3.42µm
_1773_,3.42µm
net469,3.42µm
net541,3.42µm
net639,3.42µm
net670,3.42µm
net740,3.42µm
net745,3.42µm
net828,3.42µm
net851,3.42µm
net871,3.42µm
net908,3.42µm
net1022,3.42µm
net1025,3.42µm
net1135,3.42µm
net1176,3.42µm
net1273,3.42µm
_0805_,3.385µm
_0189_,3.345µm
_0501_,3.345µm
_0520_,3.345µm
_0537_,3.345µm
_0658_,3.345µm
_0766_,3.345µm
_0782_,3.345µm
_0965_,3.345µm
_1058_,3.345µm
_0278_,3.32µm
_0557_,3.32µm
_0662_,3.32µm
_0754_,3.32µm
_0875_,3.32µm
_0972_,3.32µm
_1603_,3.32µm
_1967_,3.32µm
net540,3.32µm
net545,3.32µm
net634,3.32µm
net671,3.32µm
net743,3.32µm
net899,3.32µm
net928,3.32µm
net983,3.32µm
net1066,3.32µm
net1151,3.32µm
net1265,3.32µm
_0009_,3.3µm
_0735_,3.3µm
lsu.load_fifo.queue\[12\]\[23\],3.3µm
net680,3.3µm
_0249_,3.245µm
_0341_,3.245µm
_0393_,3.245µm
_0400_,3.245µm
_0427_,3.245µm
_0505_,3.245µm
_0590_,3.245µm
_0629_,3.245µm
_0640_,3.245µm
_0770_,3.245µm
_0811_,3.245µm
_0848_,3.245µm
_0040_,3.23µm
_1861_,3.22µm
_1864_,3.22µm
net587,3.22µm
net705,3.22µm
net721,3.22µm
net769,3.22µm
net935,3.22µm
net1101,3.22µm
net1195,3.22µm
net1242,3.22µm
net1256,3.22µm
net1289,3.22µm
_1971_,3.21µm
_1657_,3.205µm
_1084_,3.2µm
net779,3.2µm
net973,3.2µm
_0930_,3.195µm
_0794_,3.18µm
_0884_,3.18µm
_1665_,3.18µm
net750,3.18µm
_0597_,3.175µm
_0767_,3.175µm
_0776_,3.175µm
_0779_,3.175µm
_0315_,3.165µm
_0226_,3.145µm
_0420_,3.145µm
_0432_,3.145µm
_0022_,3.13µm
_0069_,3.13µm
_0151_,3.13µm
_0197_,3.125µm
_0340_,3.125µm
_0410_,3.125µm
_0430_,3.125µm
_1167_,3.1µm
_1184_,3.1µm
_1686_,3.1µm
_1701_,3.1µm
_1874_,3.1µm
net67,3.1µm
net1028,3.1µm
_0727_,3.08µm
_0731_,3.08µm
_1015_,3.08µm
_1016_,3.08µm
_1082_,3.08µm
_1191_,3.08µm
_1477_,3.08µm
_1573_,3.08µm
_1979_,3.08µm
_1987_,3.08µm
net37,3.08µm
net49,3.08µm
net59,3.08µm
net62,3.08µm
net668,3.08µm
net787,3.08µm
net1181,3.08µm
net1220,3.08µm
net1243,3.08µm
net1291,3.08µm
net1306,3.08µm
net923,3.055µm
_0206_,3.045µm
_0448_,3.045µm
_0863_,3.045µm
_0187_,3.005µm
_0404_,3.005µm
_0571_,3.005µm
_0756_,3.005µm
_0845_,3.005µm
_0939_,3.005µm
_1515_,3µm
_1535_,2.98µm
_1990_,2.98µm
_1351_,2.96µm
_1457_,2.96µm
_1745_,2.96µm
_2038_,2.96µm
net235,2.96µm
net550,2.96µm
net608,2.96µm
net746,2.96µm
net893,2.96µm
net930,2.96µm
net990,2.96µm
_0403_,2.955µm
_0852_,2.955µm
_0512_,2.885µm
_0850_,2.885µm
_0855_,2.885µm
_0865_,2.885µm
_0873_,2.885µm
_0941_,2.88µm
_0216_,2.86µm
_0326_,2.86µm
_0409_,2.86µm
_0532_,2.86µm
_0552_,2.86µm
_0570_,2.86µm
_0573_,2.86µm
_0606_,2.86µm
net579,2.86µm
net660,2.86µm
net684,2.86µm
net739,2.86µm
net932,2.86µm
net965,2.86µm
net988,2.86µm
net995,2.86µm
net1011,2.86µm
net1064,2.86µm
net1204,2.86µm
net1230,2.86µm
net1236,2.86µm
net1250,2.86µm
_0026_,2.84µm
_0032_,2.84µm
_0081_,2.84µm
_0099_,2.84µm
_0162_,2.84µm
_0709_,2.84µm
_0741_,2.84µm
_0749_,2.84µm
_1010_,2.84µm
net513,2.84µm
_0299_,2.835µm
_0689_,2.795µm
_0227_,2.785µm
_0259_,2.785µm
_0319_,2.785µm
_0367_,2.785µm
_0384_,2.785µm
_0414_,2.785µm
_0422_,2.785µm
_0444_,2.785µm
_0467_,2.785µm
_0475_,2.785µm
_0584_,2.785µm
_0634_,2.785µm
_0685_,2.785µm
_0937_,2.785µm
_0943_,2.785µm
_1051_,2.785µm
net704,2.785µm
_0171_,2.77µm
_0491_,2.76µm
_1383_,2.76µm
_1753_,2.76µm
_1772_,2.76µm
net711,2.76µm
net713,2.76µm
net730,2.76µm
net766,2.76µm
net783,2.76µm
net791,2.76µm
net832,2.76µm
net891,2.76µm
net997,2.76µm
net1040,2.76µm
net1072,2.76µm
net1183,2.76µm
net1189,2.76µm
net1232,2.76µm
net1238,2.76µm
net1255,2.76µm
net1258,2.76µm
net1259,2.76µm
net1286,2.76µm
_0707_,2.74µm
net1178,2.74µm
_0280_,2.715µm
_0435_,2.715µm
_0611_,2.715µm
_0868_,2.715µm
_0372_,2.705µm
_0987_,2.705µm
