net,length_um
lsu.load_fifo.w_ptr\[0\],54.17µm
clknet_leaf_50_clk,54.02µm
acc.byte3\[6\],53.6µm
_1606_,53.59µm
clknet_leaf_46_clk,53.52µm
net246,53.36µm
_1144_,53.12µm
_1306_,52.96µm
net98,52.84µm
_1639_,52.55µm
net88,52.5µm
clknet_leaf_41_clk,52.32µm
net335,52.22µm
lsu.store_counter\[12\],52.07µm
_1282_,52.04µm
_1340_,51.82µm
_1724_,51.76µm
acc.data_out\[8\],51.64µm
lsu.current_store_addr\[1\],51.5µm
net259,51.455µm
net287,51.16µm
clknet_leaf_38_clk,50.96µm
_1142_,50.64µm
lsu.load_counter\[2\],50.56µm
_1842_,50.26µm
lsu.current_store_addr\[0\],50.18µm
_1177_,49.98µm
net63,49.86µm
net419,49.66µm
_1833_,49.58µm
lsu.load_counter\[20\],49.44µm
_1381_,49.38µm
clknet_leaf_26_clk,49.2µm
lsu.current_load_addr\[2\],48.98µm
net291,48.96µm
lsu.load_counter\[11\],48.5µm
_2013_,48.46µm
lsu.store_counter\[17\],48.46µm
_1446_,48.44µm
net299,48.38µm
_1507_,48.24µm
net347,47.75µm
net479,47.68µm
_1546_,47.58µm
lsu.current_store_addr\[20\],47.58µm
net476,47.17µm
_1594_,47.07µm
_1434_,47.02µm
net293,46.9µm
_1519_,46.6µm
_1194_,46.52µm
_1502_,46.44µm
_1676_,46.4µm
_1407_,46.34µm
_1202_,46.3µm
net76,46.16µm
_1877_,46.1µm
_1547_,46µm
_1548_,45.795µm
_1496_,45.72µm
net480,45.7µm
lsu.current_store_addr\[19\],45.66µm
lsu.store_counter\[4\],45.4µm
net315,45.3µm
_1633_,44.74µm
net327,44.64µm
_2012_,44.52µm
net77,44.5µm
_1240_,44.32µm
acc.byte3\[4\],44.3µm
net319,44.28µm
lsu.store_fifo.w_ptr\[0\],44.27µm
net12,44µm
_1565_,43.94µm
_1145_,43.88µm
_1214_,43.82µm
