Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_99_345,VGND,li1,166.9800,282.8800,0.000395
FILLER_99_341,VGND,li1,162.6100,282.8800,0.000444
FILLER_99_337,VGND,li1,161.4600,282.8800,0.000466
FILLER_99_305,VGND,li1,147.6600,282.8800,0.000563
FILLER_99_293,VGND,li1,143.0600,282.8800,0.000584
FILLER_99_278,VGND,li1,133.8600,282.8800,0.000637
FILLER_99_262,VGND,li1,126.2700,282.8800,0.000661
FILLER_99_254,VGND,li1,124.2000,282.8800,0.000668
FILLER_99_242,VGND,li1,119.6000,282.8800,0.000676
FILLER_99_229,VGND,li1,111.0900,282.8800,0.000688
FILLER_99_225,VGND,li1,109.2500,282.8800,0.000687
FILLER_99_223,VGND,li1,108.3300,282.8800,0.000686
FILLER_99_219,VGND,li1,107.1800,282.8800,0.000686
FILLER_99_214,VGND,li1,104.1900,282.8800,0.000680
FILLER_99_210,VGND,li1,103.0400,282.8800,0.000680
FILLER_99_161,VGND,li1,79.8100,282.8800,0.000589
FILLER_99_155,VGND,li1,78.2000,282.8800,0.000589
FILLER_99_146,VGND,li1,74.0600,282.8800,0.000559
FILLER_99_121,VGND,li1,61.6400,282.8800,0.000461
FILLER_99_113,VGND,li1,59.3400,282.8800,0.000438
FILLER_99_111,VGND,li1,56.8100,282.8800,0.000397
FILLER_99_105,VGND,li1,55.2000,282.8800,0.000397
FILLER_99_93,VGND,li1,51.0600,282.8800,0.000356
FILLER_99_81,VGND,li1,45.5400,282.8800,0.000290
FILLER_99_69,VGND,li1,40.0200,282.8800,0.000247
FILLER_99_57,VGND,li1,34.5000,282.8800,0.000192
FILLER_99_54,VGND,li1,30.8200,282.8800,0.000156
FILLER_99_42,VGND,li1,27.6000,282.8800,0.000119
FILLER_99_30,VGND,li1,22.0800,282.8800,0.000099
FILLER_99_18,VGND,li1,16.5600,282.8800,0.000099
FILLER_99_6,VGND,li1,11.0400,282.8800,0.000099
FILLER_98_610,VGND,li1,286.3500,277.4400,0.000903
FILLER_98_597,VGND,li1,280.3700,277.4400,0.000887
FILLER_98_589,VGND,li1,278.3000,277.4400,0.000879
FILLER_98_580,VGND,li1,274.1600,277.4400,0.000861
FILLER_98_533,VGND,li1,251.1600,277.4400,0.000764
FILLER_98_526,VGND,li1,248.1700,277.4400,0.000754
FILLER_98_514,VGND,li1,244.7200,277.4400,0.000734
FILLER_98_506,VGND,li1,238.9700,277.4400,0.000713
FILLER_98_492,VGND,li1,232.3000,277.4400,0.000682
FILLER_98_441,VGND,li1,208.8400,277.4400,0.000514
FILLER_98_433,VGND,li1,206.5400,277.4400,0.000493
FILLER_98_419,VGND,li1,198.4900,277.4400,0.000406
FILLER_98_393,VGND,li1,186.5300,277.4400,0.000290
FILLER_98_389,VGND,li1,185.3800,277.4400,0.000290
FILLER_98_373,VGND,li1,178.0200,277.4400,0.000199
FILLER_98_357,VGND,li1,170.6600,277.4400,0.000236
FILLER_98_345,VGND,li1,166.9800,277.4400,0.000242
FILLER_98_333,VGND,li1,161.4600,277.4400,0.000260
FILLER_98_321,VGND,li1,155.9400,277.4400,0.000271
FILLER_98_309,VGND,li1,150.4200,277.4400,0.000285
FILLER_98_306,VGND,li1,146.7400,277.4400,0.000295
FILLER_98_294,VGND,li1,143.5200,277.4400,0.000304
FILLER_98_269,VGND,li1,129.4900,277.4400,0.000332
FILLER_98_265,VGND,li1,128.3400,277.4400,0.000332
FILLER_98_253,VGND,li1,124.6600,277.4400,0.000335
FILLER_98_251,VGND,li1,121.2100,277.4400,0.000339
FILLER_98_245,VGND,li1,119.6000,277.4400,0.000339
FILLER_98_212,VGND,li1,103.7300,277.4400,0.000324
FILLER_98_200,VGND,li1,100.2800,277.4400,0.000318
FILLER_98_173,VGND,li1,85.7900,277.4400,0.000275
FILLER_98_165,VGND,li1,83.2600,277.4400,0.000264
FILLER_98_153,VGND,li1,78.6600,277.4400,0.000247
FILLER_98_141,VGND,li1,73.1400,277.4400,0.000226
FILLER_98_138,VGND,li1,69.4600,277.4400,0.000207
FILLER_98_133,VGND,li1,67.1600,277.4400,0.000197
FILLER_98_121,VGND,li1,63.9400,277.4400,0.000190
FILLER_98_109,VGND,li1,58.4200,277.4400,0.000164
FILLER_98_97,VGND,li1,52.9000,277.4400,0.000147
FILLER_98_85,VGND,li1,47.3800,277.4400,0.000126
FILLER_98_83,VGND,li1,43.9300,277.4400,0.000106
FILLER_98_77,VGND,li1,42.3200,277.4400,0.000106
FILLER_98_65,VGND,li1,38.1800,277.4400,0.000090
FILLER_98_53,VGND,li1,32.6600,277.4400,0.000068
FILLER_98_41,VGND,li1,27.1400,277.4400,0.000047
FILLER_98_29,VGND,li1,21.6200,277.4400,0.000039
FILLER_98_27,VGND,li1,18.1700,277.4400,0.000039
FILLER_98_15,VGND,li1,15.1800,277.4400,0.000039
FILLER_98_3,VGND,li1,9.6600,277.4400,0.000039
FILLER_97_625,VGND,li1,293.2500,277.4400,0.000918
FILLER_97_588,VGND,li1,277.8400,277.4400,0.000870
FILLER_97_569,VGND,li1,267.4900,277.4400,0.000835
FILLER_97_559,VGND,li1,262.8900,277.4400,0.000816
FILLER_97_544,VGND,li1,255.9900,277.4400,0.000782
FILLER_97_540,VGND,li1,254.8400,277.4400,0.000782
FILLER_97_536,VGND,li1,252.3100,277.4400,0.000772
FILLER_97_532,VGND,li1,251.1600,277.4400,0.000764
FILLER_97_521,VGND,li1,245.8700,277.4400,0.000744
FILLER_97_513,VGND,li1,241.7300,277.4400,0.000722
FILLER_97_505,VGND,li1,239.6600,277.4400,0.000713
FILLER_97_498,VGND,li1,235.9800,277.4400,0.000692
FILLER_97_491,VGND,li1,231.6100,277.4400,0.000672
FILLER_97_487,VGND,li1,230.4600,277.4400,0.000672
FILLER_97_436,VGND,li1,207.0000,277.4400,0.000493
FILLER_97_402,VGND,li1,190.6700,277.4400,0.000347
FILLER_97_390,VGND,li1,185.3800,277.4400,0.000290
FILLER_97_378,VGND,li1,182.1600,277.4400,0.000248
FILLER_97_365,VGND,li1,173.8800,277.4400,0.000227
FILLER_97_349,VGND,li1,167.4400,277.4400,0.000242
FILLER_97_337,VGND,li1,163.3000,277.4400,0.000252
FILLER_97_335,VGND,li1,159.8500,277.4400,0.000265
FILLER_97_329,VGND,li1,158.2400,277.4400,0.000265
FILLER_97_317,VGND,li1,154.1000,277.4400,0.000276
FILLER_97_305,VGND,li1,148.5800,277.4400,0.000290
FILLER_97_293,VGND,li1,143.0600,277.4400,0.000304
FILLER_97_281,VGND,li1,137.5400,277.4400,0.000319
FILLER_97_277,VGND,li1,133.6300,277.4400,0.000329
FILLER_97_269,VGND,li1,131.1000,277.4400,0.000330
FILLER_97_257,VGND,li1,126.5000,277.4400,0.000334
FILLER_97_245,VGND,li1,120.9800,277.4400,0.000339
FILLER_97_223,VGND,li1,108.3300,277.4400,0.000334
FILLER_97_217,VGND,li1,106.7200,277.4400,0.000334
FILLER_97_205,VGND,li1,102.5800,277.4400,0.000324
FILLER_97_193,VGND,li1,97.0600,277.4400,0.000308
FILLER_97_181,VGND,li1,91.5400,277.4400,0.000296
FILLER_97_169,VGND,li1,86.0200,277.4400,0.000275
FILLER_97_167,VGND,li1,82.5700,277.4400,0.000256
FILLER_97_161,VGND,li1,80.9600,277.4400,0.000256
FILLER_97_149,VGND,li1,76.8200,277.4400,0.000240
FILLER_97_137,VGND,li1,71.3000,277.4400,0.000214
FILLER_97_125,VGND,li1,65.7800,277.4400,0.000197
FILLER_97_113,VGND,li1,60.2600,277.4400,0.000176
FILLER_97_111,VGND,li1,56.8100,277.4400,0.000156
FILLER_97_105,VGND,li1,55.2000,277.4400,0.000156
FILLER_97_93,VGND,li1,51.0600,277.4400,0.000140
FILLER_97_81,VGND,li1,45.5400,277.4400,0.000114
FILLER_97_69,VGND,li1,40.0200,277.4400,0.000097
FILLER_97_57,VGND,li1,34.5000,277.4400,0.000075
FILLER_97_55,VGND,li1,31.0500,277.4400,0.000058
FILLER_97_51,VGND,li1,29.9000,277.4400,0.000058
FILLER_97_39,VGND,li1,26.2200,277.4400,0.000039
FILLER_97_27,VGND,li1,20.7000,277.4400,0.000039
FILLER_97_15,VGND,li1,15.1800,277.4400,0.000039
FILLER_97_3,VGND,li1,9.6600,277.4400,0.000039
FILLER_96_625,VGND,li1,293.2500,272.0000,0.000840
FILLER_96_595,VGND,li1,279.4500,272.0000,0.000806
FILLER_96_589,VGND,li1,277.8400,272.0000,0.000806
FILLER_96_585,VGND,li1,275.3100,272.0000,0.000797
FILLER_96_562,VGND,li1,264.2700,272.0000,0.000756
FILLER_96_551,VGND,li1,259.2100,272.0000,0.000736
FILLER_96_547,VGND,li1,258.0600,272.0000,0.000736
FILLER_96_531,VGND,li1,250.0100,272.0000,0.000708
FILLER_96_525,VGND,li1,248.4000,272.0000,0.000700
FILLER_96_507,VGND,li1,238.9700,272.0000,0.000638
FILLER_96_501,VGND,li1,237.3600,272.0000,0.000638
